GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC02_EST_VC02,HC01_EST_VC10,HC02_EST_VC10,HC01_EST_VC22,HC02_EST_VC22,HC01_EST_VC27,HC02_EST_VC27,HC01_EST_VC30,HC02_EST_VC30,HC01_EST_VC31,HC02_EST_VC31,HC01_EST_VC33,HC02_EST_VC33,HC01_EST_VC34,HC02_EST_VC34,HC01_EST_VC36,HC02_EST_VC36
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",814,30750,0.4,,555,31250,5.2,,259,19879,59.1,25268,3.9,,40.9,19758,1.9,
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",2087,21283,1.4,,1141,22047,14.4,19792,946,19157,53.4,19825,4.8,44625,46.6,18301,5.1,25938
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",2392,31591,3.5,19000,934,52368,6.6,,1458,24969,44.9,17265,5.0,24007,55.1,40451,8.3,26103
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",998,71343,0.0,,362,101477,6.6,,636,52045,67.6,45417,13.1,73229,32.4,70637,0.9,
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",2290,52740,0.0,,898,89896,6.6,88698,1392,25917,68.2,19167,22.4,11000,31.8,40981,9.7,82582
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",7,,0.0,,0,,,,7,,100.0,,0.0,,0.0,,0.0,
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",1621,29115,4.5,60982,755,47772,18.7,65298,866,16221,42.4,12730,10.7,6211,57.6,18549,8.5,18654
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",870,45700,1.5,,247,83920,6.9,,623,39063,55.4,32031,22.8,39028,44.6,40134,10.0,44500
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",1335,20705,4.8,15000,467,23583,12.4,45688,868,16452,22.1,14527,10.1,,77.9,16920,32.1,26150
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",1284,32782,1.9,4904,807,33306,7.9,77813,477,32181,63.5,30760,10.9,83000,36.5,36310,6.7,
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",846,20515,5.3,62583,330,22500,18.2,24205,516,18750,52.3,11622,4.5,,47.7,20625,10.9,20313
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",662,14000,0.0,,79,35605,0.0,,583,12227,45.3,12336,6.7,19861,54.7,12036,8.2,55167
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",2354,35848,0.0,,436,72569,16.5,,1918,32408,49.6,20479,3.2,7243,50.4,41758,12.7,84444
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",2119,34848,3.3,54167,637,55647,4.4,,1482,25772,48.7,22384,14.3,57100,51.3,28197,19.6,37301
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",1654,44817,3.4,32375,555,82188,8.5,77974,1099,30512,60.0,30694,31.8,54125,40.0,30000,13.0,37989
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",1952,63031,1.4,108250,934,96357,4.4,,1018,41447,44.3,52583,10.0,58409,55.7,33438,21.5,63164
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",3304,62110,0.0,,1583,97386,5.4,40489,1721,38872,73.7,31280,9.2,61897,26.3,55152,8.3,56543
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",2018,57842,3.0,38558,939,69935,17.0,68309,1079,44675,60.1,36875,14.0,62875,39.9,51216,14.3,60850
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",1150,71198,1.4,,565,120625,0.0,,585,37438,50.1,38510,11.8,37006,49.9,35735,17.8,60789
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",1187,82250,1.3,,652,96713,4.1,117292,535,62697,55.1,54659,10.5,107708,44.9,71125,12.1,79375
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",2538,55859,5.2,11701,1272,59271,6.4,57833,1266,41149,57.2,50214,14.7,44464,42.8,34403,16.2,55446
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",935,30298,1.1,,363,32625,11.6,9600,572,27262,60.5,21522,15.0,14750,39.5,40185,9.6,65694
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",1436,45337,2.4,23750,252,46250,13.1,,1184,45260,28.0,54028,7.9,90833,72.0,39635,22.0,53975
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",894,25299,2.9,8750,258,39196,26.4,38214,636,21875,56.1,23750,8.5,88750,43.9,21406,14.5,4250
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",1238,18966,1.0,,520,32500,14.4,32188,718,16316,62.0,18276,7.1,26438,38.0,13869,2.6,
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",1918,36131,1.1,,1341,40694,8.7,30190,577,32876,52.9,33556,9.7,,47.1,19534,2.9,
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",1161,51012,0.0,,579,74292,10.9,72656,582,42828,55.5,38319,11.3,67000,44.5,44137,10.5,58068
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",1539,34732,4.1,9476,872,34536,11.8,49531,667,30052,59.8,34485,19.8,41591,40.2,19844,16.8,57037
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",1557,32627,5.8,38634,663,42639,9.7,35278,894,24400,42.7,18300,3.8,33594,57.3,32642,8.6,19757
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",2882,54345,1.0,,1654,65921,3.4,57604,1228,34764,59.6,33167,11.2,58462,40.4,42845,3.4,88906
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",1058,55000,3.8,11389,594,68846,7.6,41394,464,38409,55.6,33125,6.9,,44.4,51000,14.7,40500
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",1699,31006,2.4,12292,745,44440,20.5,55426,954,22390,69.6,20141,3.2,,30.4,33333,8.4,77000
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",2014,54817,1.8,,1052,57241,16.0,52645,962,46220,34.4,41550,6.7,91016,65.6,48815,17.7,51250
