GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC02,Total; Estimate; Households
HC02_EST_VC02,Median income (dollars); Estimate; Households
HC01_EST_VC10,Total; Estimate; Households - Two or more races
HC02_EST_VC10,Median income (dollars); Estimate; Households - Two or more races
HC01_EST_VC22,Total; Estimate; FAMILIES - Families
HC02_EST_VC22,Median income (dollars); Estimate; FAMILIES - Families
HC01_EST_VC27,"Total; Estimate; FAMILIES - Families - Male householder, no wife present"
HC02_EST_VC27,"Median income (dollars); Estimate; FAMILIES - Families - Male householder, no wife present"
HC01_EST_VC30,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
HC02_EST_VC30,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
HC01_EST_VC31,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder
HC02_EST_VC31,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder
HC01_EST_VC33,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone
HC02_EST_VC33,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Female householder - Not living alone
HC01_EST_VC34,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder
HC02_EST_VC34,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder
HC01_EST_VC36,Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone
HC02_EST_VC36,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households - Male householder - Not living alone
