cartodb_id,the_geom,url,name,line,median_income
54,0101000020E610000016E3D865777E52C089253D8625504440,http://www.mta.info/nyct/service/,101 Avenue I,F,37813.000000000000
913,0101000020E61000008D472EF2B27E52C0344CC9BFA9544440,http://www.mta.info/nyct/service/,Prospect Park West & 14th St At Sw Corner,F,108365.000000000000
1021,0101000020E6100000DB21B68FDC7952C061E26896DE6D4440,http://www.mta.info/nyct/service/,Jerome Ave & 183rd St At Sw Corner,4,21613.000000000000
1127,0101000020E610000044867E39B37B52C0DED34E8552604440,http://www.mta.info/nyct/service/,31st St & 39th Ave At Se Corner,N-Q,58214.000000000000
1467,0101000020E6100000D97597C0AD7552C0A672287D34574440,http://www.mta.info/nyct/service/,104-02 102 Street,A-S,55339.000000000000
1310,0101000020E61000008CB1F235CB7E52C00A26DEF3D6614440,http://www.mta.info/nyct/service/,7th Ave & 55th St At Nw Corner,N-Q-R,128969.000000000000
1677,0101000020E6100000075FB37E6F7A52C0E44334D6355F4440,http://www.mta.info/nyct/service/,52nd St & Roosevelt Ave At Sw Corner,7,49669.000000000000
1780,0101000020E610000055CA0222C47E52C075F724FDD0614440,http://www.mta.info/nyct/service/,7th Ave & 55th St At Ne Corner,N-Q-R,128969.000000000000
1,0101000020E6100000D6C7CE9D607F52C08514C6B6E6574440,http://www.mta.info/nyct/service/,Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),F-G,108929.000000000000
2,0101000020E61000000EA9B344677F52C07009DFFDCB584440,http://www.mta.info/nyct/service/,Court St & Montague St At Sw Corner,2-3-4-5-N-R,117348.000000000000
3,0101000020E6100000A1E7FBDB657F52C07AB79C45C9584440,http://www.mta.info/nyct/service/,Court St & Montague St At Sw Corner,2-3-4-5-N-R,117348.000000000000
4,0101000020E6100000C0BB67BB857F52C0E56FADDFE1584440,http://www.mta.info/nyct/service/,Clinton St & Montague St At Nw Corner,2-3-4-5-N-R,90375.000000000000
5,0101000020E6100000C732797C957D52C062DD0440D4544440,http://www.mta.info/nyct/service/,Flatbush Ave & Empire Blvd At Sw Corner,B-Q-S,51419.000000000000
6,0101000020E6100000883818EEEF7E52C0795E4F52AD564440,http://www.mta.info/nyct/service/,4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),D-N-R,82500.000000000000
7,0101000020E6100000514113D2EA7E52C03DC3C4A0A9564440,http://www.mta.info/nyct/service/,4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R,132768.000000000000
8,0101000020E61000000726E04EE97E52C0B77F2754AE564440,http://www.mta.info/nyct/service/,4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R,132768.000000000000
9,0101000020E61000001B1302D3697E52C0F6F7DC2721574440,http://www.mta.info/nyct/service/,Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),2-3-4,87321.000000000000
10,0101000020E61000003B2906241E7F52C0C5C2C9E694584440,http://www.mta.info/nyct/service/,Lawrence St & Willoughby St At Ne Corner,N-R,103500.000000000000
11,0101000020E61000004730EF7C1C7F52C0FEB27CEC9B584440,http://www.mta.info/nyct/service/,Lawrence St & Willoughby St At Se Corner,N-R,103500.000000000000
12,0101000020E6100000B9C81AAE0E7F52C022FECBA460584440,http://www.mta.info/nyct/service/,Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),2-3,101579.000000000000
13,0101000020E61000004AC9FD6A0E7F52C016E420426F584440,http://www.mta.info/nyct/service/,Bridge St & Fulton St At Ne Corner (To Manhattan Only),2-3,90993.000000000000
14,0101000020E6100000CBAA30E2027F52C0053B146A60584440,http://www.mta.info/nyct/service/,Duffield St & Fulton St At Nw Corner (To Manhattan Only),2-3,90993.000000000000
15,0101000020E61000004C78908AFF7E52C086867D445F584440,http://www.mta.info/nyct/service/,Duffield St & Fulton St At Ne Corner (To Manhattan Only),2-3,90993.000000000000
