STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
36,093,033102,36093033102,331.02,Census Tract 331.02,G5020,S,183329989,3232878,+42.7779982,-074.1727018
36,093,020102,36093020102,201.02,Census Tract 201.02,G5020,S,854904,0,+42.8295375,-073.9161408
36,093,032504,36093032504,325.04,Census Tract 325.04,G5020,S,66000589,1265253,+42.9010522,-074.0288926
36,081,003400,36081003400,34,Census Tract 34,G5020,S,213984,0,+40.6847732,-073.8581870
36,081,003900,36081003900,39,Census Tract 39,G5020,S,146970,0,+40.7627994,-073.9409316
36,081,003600,36081003600,36,Census Tract 36,G5020,S,180006,0,+40.6837714,-073.8568176
36,081,003700,36081003700,37,Census Tract 37,G5020,S,429887,36652,+40.7633048,-073.9432058
36,081,003800,36081003800,38,Census Tract 38,G5020,S,176205,0,+40.6847999,-073.8474941
36,081,004001,36081004001,40.01,Census Tract 40.01,G5020,S,174325,0,+40.6832480,-073.8458749
36,081,004200,36081004200,42,Census Tract 42,G5020,S,200287,0,+40.6818145,-073.8579641
36,081,004300,36081004300,43,Census Tract 43,G5020,S,170813,0,+40.7609451,-073.9375143
36,081,077907,36081077907,779.07,Census Tract 779.07,G5020,S,213285,0,+40.7249698,-073.8184478
36,081,023500,36081023500,235,Census Tract 235,G5020,S,254561,0,+40.7393370,-073.9176203
36,081,024000,36081024000,240,Census Tract 240,G5020,S,269687,0,+40.7032769,-073.8050731
36,081,024300,36081024300,243,Census Tract 243,G5020,S,541754,0,+40.7366609,-073.9020838
36,081,077908,36081077908,779.08,Census Tract 779.08,G5020,S,201497,0,+40.7256063,-073.8136817
36,081,024500,36081024500,245,Census Tract 245,G5020,S,270871,0,+40.7394921,-073.9049172
36,081,024900,36081024900,249,Census Tract 249,G5020,S,194262,0,+40.7432069,-073.9042264
36,081,025100,36081025100,251,Census Tract 251,G5020,S,237044,0,+40.7449234,-073.9096532
